category_class	label	definition	synonyms	subsets	crossreferences
MONDO:0700241	IMPG2-related recessive retinopathy	Any retinopathy caused by bi-allelic variants in the IMPG2 gene.	IMPG2-related recessive retinopathy	mondo:rare; mondo:gard_rare	
MONDO:0700242	IMPG2-related dominant retinopathy	Any retinopathy caused by a heterozygous variant in the IMPG2 gene.	IMPG2-related dominant retinopathy	mondo:rare; mondo:gard_rare	
MONDO:0100509	IFT140-related recessive ciliopathy	Any ciliopathy in which the cause of the disease is biallelic variants in the IFT140 gene.	IFT140-related recessive ciliopathy	mondo:gard_rare; mondo:rare; mondo:clingen; mondo:otar	
MONDO:0700262	IFIH1-related type 1 interferonopathy	Any type 1 interferonopathies in which the cause of the disease is a variation in the IFIH1 gene. Individuals with variants in IFIH1 can present with a variety of phenotypes, including Aicardi-Goutieres syndrome and singleton-Merten syndrome.		mondo:rare; mondo:gard_rare	
MONDO:0800393	IDH3B-related retinopathy	An inherited retinopathy caused by bi-allelic variants in the IDH3B gene.		mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0859592	IDH-mutant and 1p/19q-codeleted oligodendroglioma	An anaplastic oligodendroglioma that has material basis in IDH gene family mutation and combined whole-arm losses of 1p and 19q (1p/19q codeletion).		mondo:rare; mondo:gard_rare	MEDGEN:926090; DOID:0080882; UMLS:C4288558
MONDO:0850332	IDH-mutant anaplastic astrocytoma	An anaplastic astrocytoma carrying IDH mutations.		mondo:rare; mondo:gard_rare	DOID:0080875
MONDO:0015548	Huntington disease-like syndrome		Huntington disease phenocopy syndrome	mondo:disease_grouping; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:otar; mondo:rare	ICD9:333.99; UMLS:C3711380; MESH:C580174; GARD:20029; SCTID:702376003; Orphanet:158266; MEDGEN:777988
MONDO:0000167	Huntington disease and related disorders	A grouping for Huntington disease and similar diseases.		mondo:gard_rare; mondo:rare	
MONDO:0957553	Houge-Janssens syndrome				OMIMPS:616355
MONDO:0001294	Horner syndrome	Horner's syndrome is a rare condition characterized by miosis (constriction of thepupil), ptosis (drooping of the upper eyelid), and anhidrosis (absence of sweating of the face). It iscaused by damage to the sympathetic nerves of the face. The underlying causes of Horner's syndrome vary greatly and may include a tumor, stroke, or other damage to a part of the brain called the brain stem ; injury to the carotid artery ;and trauma to the brachial plexus. In rare cases, Horner's syndrome is congenital (present from birth) and associated with a lack of pigmentation of the iris (colored part of the eye). Treatment of Horner's syndrome depends on the underlying cause.	cervical sympathetic paralysis; Horner syndrome; Horner's syndrome; Bernard Horner syndrome	mondo:otar; mondo:gard_rare; mondo:rare	UMLS:C0019937; DOID:11486; SCTID:192915005; MESH:D006732; NCIT:C28155; ICD9:337.09; MEDGEN:5616
MONDO:0004952	Hodgkins lymphoma	Hodgkin lymphoma (HL) is a heterogeneous group of malignant lymphoid neoplasms of B-cell origin characterized histologically by the presence of Hodgkin and Reed-Sternberg (HRS) cells in the vast majority of cases. There are two distinct subtypes: nodular lymphocyte predominant Hodgkin lymphoma and classical Hodgkin lymphoma. Hodgkin lymphoma involves primarily lymph nodes.	Hodgkin's disease; Hodgkin's Disease; Hodgkin disease; HL; Hodgkin lymphoma; Hodgkin's lymphoma; Hodgkins lymphoma	mondo:otar; mondo:gard_rare; mondo:rare; mondo:ordo_group_of_disorders; mondo:nord_rare; mondo:disease_grouping	ONCOTREE:HL; DOID:8567; ICD9:201.1; ICD9:201.2; ICD9:201.0; ICD9:201; ICD9:201.9; MESH:D006689; GARD:2714; ICD9:201.90; icd11.foundation:1528863768; NCIT:C9357; ICDO:9650/3; NANDO:2200024; NORD:1246; EFO:0000183; Orphanet:98293
MONDO:0002099	Histoplasma capsulatum infectious disease	An disease or disorder caused by infection with Histoplasma capsulatum.	Histoplasma capsulatum disease or disorder; Histoplasma capsulatum caused disease or disorder; infection by Histoplasma capsulatum	mondo:gard_rare; mondo:rare	ICD9:115.00; DOID:1759; ICD9:115.0; SCTID:76255006
MONDO:0005794	Herpesviridae infectious disease	Virus diseases caused by the herpesviridae.	Herpesviridae infections; Herpesviridae caused disease or disorder; Herpesviridae disease or disorder; herpesvirus infection	mondo:otar	EFO:0007309; SCTID:23513009; MESH:D006566
MONDO:0000618	Her2-receptor negative breast cancer			mondo:otar	MEDGEN:1684659; SCTID:431396003; DOID:0060080; UMLS:C4733095; EFO:0009780; NCIT:C168519
MONDO:0005786	Hepadnaviridae infectious disease	Virus diseases caused by the hepadnaviridae.	Hepadnaviridae caused disease or disorder; Hepadnaviridae disease or disorder		MEDGEN:64649; UMLS:C0206746; MESH:D018347
MONDO:0005109	HIV infectious disease	An infection caused by the human immunodeficiency virus.	Human immunodeficiency virus caused disease or disorder; HIV infection; Human immunodeficiency virus infectious disease; Human immunodeficiency virus disease or disorder	mondo:otar	DOID:526; EFO:0000764; NANDO:2200810; NCIT:C3108; ICD9:042; UMLS:C0019693; MESH:D015658; ICD10CM:B20-B20; MEDGEN:5583; SCTID:86406008; ICD9:042-042.99
MONDO:0006244	HER2 positive breast carcinoma	A biologic subset of breast carcinoma defined by high expression of HER2, GRB7, and TRAP100, and by lack of expression of estrogen receptor (ER).	ERBB2 Overexpressing subtype of breast carcinoma; Her2-receptor positive breast cancer; HER2 positive breast carcinoma; HER2 Overexpressing breast carcinoma; HER2 Overexpressing subtype of breast carcinoma; HER2 Positive breast cancer	mondo:otar	EFO:1000294; SCTID:427685000; UMLS:C1960398; NCIT:C53556; DOID:0060079; MEDGEN:743175
MONDO:0005364	Graves disease	Graves' disease is an autoimmune disorder that leads to overactivity of the thyroid gland (hyperthyroidism).It is caused by an abnormal immune system response that causes the thyroid gland to produce too much thyroid hormones. Graves disease is the most common cause of hyperthyroidism andoccurs mostoften in women over age 20. However, the disorder may occur at any age and may affect males as well.Treatmentmayinclude radioiodine therapy, antithyroid drugs, and/or thyroid surgery.	exophthalmic goiter; grave's disease; exophthalmic goitre; Graves disease	mondo:otar	DOID:12361; UMLS:C0018213; EFO:0004237; ICD9:242.0; NANDO:2200328; MEDGEN:6677; MESH:D006111; SCTID:353295004; NCIT:C3071
MONDO:0100453	GUCY2D-related recessive retinopathy	A retinopathy caused by biallelic variants in the GUCY2D gene.	recessive GUCY2D retinopathy	mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0100441	GUCY2D-related dominant retinopathy	A retinopathy caused by a heterozygous gain of function or dominant-negative variant or in the GUCY2D gene.	dominant GUCY2D retinopathy	mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0100454	GUCY2D retinopathy	Any inherited retinal dystrophy in which the cause of the disease is a mutation in the GUCY2D gene.	retinopathy caused by mutation in GUCY2D	mondo:gard_rare; mondo:nord_rare; mondo:rare	
MONDO:0100184	GTP cyclohydrolase I deficiency	"A disease characterized by a deficiency in GTP cyclohydrolase I, which leads to a consequent reduction in BH4 and reduces the activity of three BH4-cofactor dependent enzymes - phenylalanine hydroxylase, tyrosine hydroxylase, and tryptophan hydroxylase. GTP cyclohydrolase I deficiency encompasses a spectrum of disease that includes autosomal dominant and autosomal recessive forms, with severity correlating with the residual enzyme activity. Individuals who are heterozygous for pathogenic variants in GCH1 have symptoms ranging from none (due to reduced penetrance) to dopa-responsive dystonia, which is the most common presentation in symptomatic cases, to rarer neurological presentations such as adult-onset \benign\"" parkinsonism, various types of focal dystonia, and symptoms simulating cerebral palsy or spastic paraplegia. Hyperphenylalaninemia is absent, and patients respond well to treatment with levodopa. Individuals who are homozygous or compound heterozygous for pathogenic variants in GCH1 typically present with hyperphenylalaninemia, often identified by newborn screening, and severe neurological features and due to very low or undetectable enzyme activity. Treatment with levodopa, BH4, and 5-hydroxytryptophan can improve the symptoms but does not prevent development of severe encephalopathy. Rare cases of GTP cyclohydrolase I deficiency with a phenotype that is intermediate in severity between dopa-responsive dystonia and the severe autosomal recessive form have also been described, supporting the existence a phenotypic spectrum of disease."""	GTP cyclohydrolase I deficiency; GTP-cyclohydrolase I deficiency	mondo:otar; mondo:rare; mondo:gard_rare; mondo:clingen	UMLS:C0268467; MEDGEN:75683
MONDO:0011842	GRN-related frontotemporal lobar degeneration with Tdp43 inclusions	A frontotemporal dementia characterized by variable phenotypic expression typically including social, behavioral, or language deterioration, rather than memory or motor deficits and the presence of TARDBP-positive inclusions that has material basis in mutation in the GRN gene on chromosome 17q21.31.		mondo:otar; mondo:gard_rare; mondo:rare	DOID:0060672; MEDGEN:375285; OMIM:607485; UMLS:C1843792
MONDO:0800397	GRM6-related retinopathy	An inherited retinopathy caused by bi-allelic variants in the GRM6 gene.		mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0800396	GPR179-related retinopathy	An inherited retinopathy caused by bi-allelic variants in the GPR179 gene.		mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0100122	GNPTAB-mucolipidosis	An autosomal recessive mucolipidosis disorder caused by bi-allelic variants in the GNPTAB gene. Symptoms of this condition occur across a clinical spectrum including mucolipidosis type II (ML II) and mucolipidosis type III alpha/beta (ML IIIα/β), and phenotypes intermediate between ML II and ML IIIα/β.	UDP-N-acetylglucosamine-1-phosphotransferase subunit alpha/beta deficiency; GNPTAB-related disorder	mondo:gard_rare; mondo:rare; mondo:otar; mondo:clingen	
MONDO:0800392	GNAT2-related retinopathy	An inherited retinopathy caused by bi-allelic variants in the GNAT2 gene.		mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0000188	GLUT1 deficiency syndrome	An epileptic encephalopathy resulting from impaired glucose transport into the brain.	GLUT1DS; GLUT1 deficiency syndrome	mondo:otar; mondo:clingen; mondo:gard_rare; mondo:rare	MEDGEN:337833; OMIMPS:606777; UMLS:C1847501; NANDO:1200799
MONDO:0100540	GATA6-related congenital heart disease with or without pancreatic agenesis or neonatal diabetes	A congenital heart disease that is present at birth. Representative examples include atrial septal defect 9, conotruncal heart malformations, tetralogy of Fallot, ventricular septal defect, atrioventricular septal defect, bicuspid aortic valve, transposition of the great arteries, persistent truncus arteriosus, congenital heart disease with pancreatic agenesis, and congenital heart disease with neonatal diabetes.	GATA6 related congenital heart disease with or without pancreatic agenesis or neonatal diabetes		
MONDO:0100541	GATA5-related congenital heart defects	A congenital heart disease that is present at birth. Representative examples include tetralogy of fallot, bicuspid aortic valve, atrial septal defect, double outlet right ventricle, ventricular septal defect, and coarctation of the aorta, and atrioventricular canal.	GATA5 related congenital heart defects		
MONDO:0100089	GATA1-Related X-Linked Cytopenia	X-Linked cytopenia characterized by anemia and/or thrombocytopenia. Additional features including platelet dysfunction, dyserythropoesis, mild beta-thalassemia, neutropenia, or congenital erythropoetic porphyria may be present. These GATA1 variants are germline as opposed to GATA1 variants seen in leukemia.	GATA1-Related X-Linked Cytopenia; GATA1-Related Cytopenia	mondo:clingen; mondo:otar; mondo:rare; mondo:nord_rare; mondo:gard_rare	UMLS:C1845837; MEDGEN:335283
MONDO:0005775	G6PD deficiency	An X-linked genetic condition caused by alterations in the gene G6PD that result in moderately to severely decreased activity levels of the enzyme glucose-6-phosphate dehydrogenase. Most individuals with G6PD deficiency are asymptomatic. Individuals with G6PD variants that cause G6PD deficiency are at risk for neonatal jaundice. These individuals are also at risk for acute hemolytic anemia in response to certain medication exposures, chemical exposures, infections, or consumption of fava beans.	glucosephosphate dehydrogenase deficiency; glucose-6-phosphate dehydrogenase deficiency; inborn error of glucose-6-phosphate dehydrogenase activity; inborn glucose-6-phosphate dehydrogenase activity disorder; G-6-PD variant enzyme deficiency Anemia; deficiency of G-6PD; G-6-PD variant enzyme deficiency Anaemia; rare inborn error of glucose-6-phosphate dehydrogenase activity; G6PD deficiency; G6PD	mondo:clingen; mondo:otar; mondo:inferred_rare; mondo:rare	EFO:0007287; NANDO:2200627; NCIT:C98933; MESH:D005955; UMLS:C2939465; SCTID:62403005; MEDGEN:473706; DOID:2862
MONDO:0006925	Fusobacteriaceae infectious disease	Infections with bacteria of the family Fusobacteriaceae, in the order Fusobacterales, phylum fusobacteria.	Fusobacteriaceae caused disease or disorder; Fusobacteriaceae disease or disorder		UMLS:C1258222; MEDGEN:263530; MESH:D045825
MONDO:0005763	Flaviviridae infectious disease	Infections with viruses of the family flaviviridae.	Flaviviridae caused disease or disorder; Flaviviridae disease or disorder	mondo:otar	MESH:D018178; SCTID:111865007; EFO:0007274
MONDO:0005762	Filoviridae infectious disease	Infections with viruses of the family filoviridae. The infections in humans consist of a variety of clinically similar viral hemorrhagic fevers but the natural reservoir host is unknown.	Filoviridae disease or disorder; Filoviridae caused disease or disorder		UMLS:C0242917; MESH:D018702; MEDGEN:67006
MONDO:0001083	Fanconi renotubular syndrome	A genetic or acquired disorder characterized by impairment of the function of the proximal tubules of the kidney. It results in decreased reabsorption of electrolytes, glucose, amino acids, and other nutrients.	Fanconi's syndrome; De toni-Fanconi syndrome; Fanconi-de toni syndrome; De toni-debre-Fanconi syndrome; Fanconi-de-toni syndrome; Lignac-Fanconi syndrome; deToni Fanconi syndrome; Fanconi syndrome	mondo:nord_rare; mondo:gard_rare; mondo:otar; mondo:rare	UMLS:C0015624; DOID:1062; NANDO:2200187; NCIT:C3034; MESH:D005198; GARD:9120; MEDGEN:4653; NANDO:2100027; SCTID:40488004
MONDO:0100040	FOXG1 disorder	A monogenic disease that has material basis in mutation in the FOXG1 gene.	FOXG1 inherited genetic disease; inherited genetic disease caused by mutation in FOXG1; FOXG1 disorder	mondo:rare; mondo:clingen; mondo:gard_rare; mondo:nord_rare; mondo:otar	
MONDO:0800462	FHL1-related myopathy	A group of myopathies that includes Emery-Dreifuss muscular dystrophy (EDMD), and two allelic disorders characterized by the presence of reducing body on histopathology, namely reducing body myopathy (RBM) and scapuloperoneal myopathy.	FHL1-related myopathy	mondo:rare; mondo:gard_rare	
MONDO:0019685	FGFR3-related chondrodysplasia			mondo:disease_grouping; mondo:otar; mondo:rare; mondo:nord_rare; mondo:gard_rare; mondo:ordo_group_of_disorders	GARD:19185; UMLS:C5681604; MEDGEN:1842866; Orphanet:93420
MONDO:0002010	FG syndrome	FG syndrome (FGS) is a genetic condition that affects many parts of the body and occurs almost exclusively in males. 'FG' represents the surname initials of the firstindividuals diagnosed with the disorder.People withFG syndrome frequently have intellectual disability ranging from mild to severe, hypotonia, constipation and/or anal anomalies, a distinctive facial appearance, broad thumbs and great toes,alarge head compared to body size (relative macrocephaly), and abnormalities of the corpus callosum. Medical problems including heart defects, seizures, undescended testicle, and an inguinal hernia have also been reported in some affected individuals. Researchers have identified five regions of the X chromosome that are linked to FG syndrome in affected families. Mutations in the MED12 gene appears to be the most common cause of this disorder, leading to FG syndrome 1. Other genes involved with FG syndrome include FLNA (FGS2), CASK (FGS4), UPF3B (FGS6), and BRWD3 (FGS7).FGS is inherited in an X-linked recessive pattern.Individualized early intervention and educational services are important so that each child can reach their fullest potential.	Keller syndrome	mondo:otar	UMLS:C0220769; SCTID:49984004; MEDGEN:113106; OMIMPS:305450; DOID:14711; ICD9:759.89; Orphanet:323; EFO:0009297
MONDO:0021123	Ewing sarcoma/peripheral primitive neuroectodermal tumor of bone	A spectrum of malignant tumors arising from the bone and characterized morphologically by the presence of small round cells. Ewing sarcoma and peripheral primitive neuroectodermal tumor represent the ends of a spectrum, with Ewing sarcoma lacking evidence of neural differentiation and the markers that characterize the peripheral primitive neuroectodermal tumor. Ewing sarcoma and peripheral primitive neuroectodermal tumor may share cytogenetic abnormalities, proto-oncogene expression, cell culture and immunohistochemical abnormalities. Pain and the presence of a mass are the most common clinical symptoms.	bone tissue Ewing sarcoma/peripheral primitive neuroectodermal tumour; Ewing's sarcoma/peripheral primitive neuroectodermal tumor of bone; bone tissue Ewing sarcoma/peripheral primitive neuroectodermal tumor; Ewing's sarcoma/peripheral primitive neuroectodermal tumour of bone; Ewing sarcoma/peripheral primitive neuroectodermal tumor of bone	mondo:rare; mondo:nord_rare; mondo:gard_rare; mondo:otar	MEDGEN:272598; UMLS:C1333481; NCIT:C35871
MONDO:0021038	Ewing sarcoma/peripheral primitive neuroectodermal tumor	A spectrum of malignant tumors, affecting mostly males under age 20, characterized morphologically by the presence of small round cells. Ewing sarcoma and peripheral primitive neuroectodermal tumor represent the ends of a spectrum, with Ewing sarcoma lacking evidence of neural differentiation and the markers that characterize the peripheral primitive neuroectodermal tumor. Ewing sarcoma and peripheral primitive neuroectodermal tumor may share cytogenetic abnormalities, proto-oncogene expression, cell culture and immunohistochemical abnormalities. These tumors may occur in the soft tissues or the bones. Pain and the presence of a mass are the most common clinical symptoms.	Ewing sarcoma family of tumours; tumors of Ewing's family; Ewing family of tumours; tumours of the Ewing's family; Ewing's sarcoma/peripheral primitive neuroectodermal tumour; Ewing sarcoma/peripheral primitive neuroectodermal tumor; tumors of the Ewing's family; Ewing's family of tumours; Ewing's family of tumors; Ewing sarcoma/peripheral PNET; Ewing sarcoma family of tumors; Ewing's sarcoma/peripheral primitive neuroectodermal tumor; Ewing family of tumors; tumours of Ewing's family; EFTs	mondo:otar	NCIT:C27291; MEDGEN:760735; UMLS:C3536893
MONDO:0006751	Erysipelothrix infectious disease	Infections with bacteria of the genus erysipelothrix.	Erysipelothrix disease or disorder; Erysipelothrix caused disease or disorder		UMLS:C0014736; SCTID:367434002; MEDGEN:41856; MESH:D004889
MONDO:0017342	Epstein-Barr virus-related tumor		EBV-related tumour; EBV-related tumor	mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:rare; mondo:disease_grouping	MEDGEN:1842315; Orphanet:289638; GARD:21146; UMLS:C5679942
MONDO:0017345	Epstein-Barr virus-associated mesenchymal tumor		EBV-associated mesenchymal tumour; EBV-associated mesenchymal tumor	mondo:disease_grouping; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:rare	GARD:21149; MEDGEN:1843096; UMLS:C5679941; Orphanet:289656
MONDO:0017343	Epstein-Barr virus-associated malignant lymphoproliferative disorder		EBV-associated lymphoproliferative disorder	mondo:disease_grouping; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:rare	Orphanet:289644; UMLS:C2363744; MEDGEN:797800; GARD:21147; MedDRA:10068349
MONDO:0017344	Epstein-Barr virus-associated carcinoma		EBV-associated carcinoma	mondo:disease_grouping; mondo:gard_rare; mondo:ordo_group_of_disorders; mondo:rare	GARD:21148; MEDGEN:1842328; Orphanet:289651; UMLS:C5679940
MONDO:0005111	Epstein-Barr virus infection	An infection that is caused by Epstein-Barr virus.	Human gammaherpesvirus 4 disease or disorder; EBV infection; Human gammaherpesvirus 4 infectious disease; Epstein-Barr Virus infection; Human gammaherpesvirus 4 caused disease or disorder	mondo:otar	EFO:0000769; NCIT:C38759; MESH:D020031; UMLS:C0149678; MEDGEN:57439; DOID:2938
MONDO:0005745	Enoplea infectious disease	Infections with nematodes of the order enoplida.	Enoplea disease or disorder; Enoplea caused disease or disorder		MESH:D017189
MONDO:0850469	EZB diffuse large B-cell lymphoma	A diffuse large B-cell lymphoma that is categorized as EZB with high probability by the LymphGen algorithm. This is based on a combination of genetic features and EZB DLBCLs often, but do not always, have hot spot mutations in EZH2 and/or a BCL2 translocation. This class can be further subdivided into two sub-classes EZB-MYC+ and EZB-MYC- using the double hit gene expression signature (DHITsig). This subgroup also commonly has mutations due to aberrant somatic hypermutation affecting IRF8, which can be coding or non-coding.		mondo:rare; mondo:gard_rare	UMLS:C4725006; MEDGEN:1653316; DOID:0081065
MONDO:0800391	EYS-related retinopathy	An inherited retinopathy caused by bi-allelic variants in the EYS gene.		mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0858921	EWSR1-negative small round cell tumor	A small cell sarcoma that is characterized by the absence of EWSR1 rearrangement and the presence of small round malignant cells with a small amount of cytoplasm.			DOID:0081249; NCIT:C165671; MEDGEN:1714743; UMLS:C5237359
MONDO:0700080	EPHB4-associated vascular malformation spectrum	Any vascular malformation in which the cause of the disease is a variation in the EPHB4 gene.		mondo:otar; mondo:clingen	
MONDO:0700227	ELOVL4-related maculopathy	Any maculopathy caused by a variant in the ELOVL4 gene.	ELOVL4-related maculopathy	mondo:rare; mondo:gard_rare	
MONDO:0006188	EBV-positive T-cell lymphoproliferative disorder of childhood	An Epstein-Barr virus-associated mature T-cell lymphoproliferative group of disorders affecting children. It occurs with increased frequency in Asians and Native Americans. It includes the systemic EBV-positive T-cell lymphoma of childhood and the hydroa vacciniforme-like lymphoma.	EBV-positive T-cell lymphoproliferative disease of childhood; EBV-positive T-cell lymphoproliferative disorder of childhood	mondo:gard_rare; mondo:nord_rare; mondo:rare	MEDGEN:397515; NCIT:C80373; UMLS:C2699838
MONDO:0005358	Dengue hemorrhagic fever	A serious condition caused by Dengue virus infection. Patients present with an acute febrile illness followed by restlessness, irritability, and bleeding. It may lead to hemorrhagic shock and death.	DHF	mondo:rare; mondo:gard_rare; mondo:otar	SCTID:20927009; ICD10CM:A91; MEDGEN:5506; UMLS:C0019100; EFO:0004227; NCIT:C34683; DOID:12206
MONDO:0021190	DNA repair disease	A disease that has its basis in the disruption of DNA repair.	deficiency of DNA repair; DNA repair disorder; disorder of DNA repair	mondo:rare; mondo:gard_rare; mondo:otar	EFO:0008499; MESH:D049914; UMLS:C0268134; MEDGEN:82774; NCIT:C7757
MONDO:0100152	DKC1-related disorder	Any dyskeratosis congenita in which the cause of the disease is a mutation in the DKC1 gene.	DKC1-related disorder	mondo:gard_rare; mondo:rare; mondo:clingen; mondo:otar	
MONDO:0018912	Cushing syndrome	Cushing's syndrome (CS) encompasses a group of hormonal disorders caused by prolonged and high exposure levels to glucocorticoids that can be of either endogenous (adrenal cortex production) or exogenous (iatrogenic) origin.	hyperadrenocorticism; cortisol Excess; pituitary basophilism; suprarenogenic syndrome; Cushing syndrome; Cushing's syndrome	mondo:otar; mondo:disease_grouping; mondo:gard_rare; mondo:rare	MEDGEN:3681; NCIT:C2969; MedDRA:10020610; MESH:D000308; EFO:0003099; GARD:6224; UMLS:C0010481; ICD9:255.0; MESH:D003480; MedDRA:10020564; MedDRA:10020562; ICD10CM:E24; MedDRA:10011652; Orphanet:553
MONDO:0005357	Creutzfeldt Jacob disease	A rare transmittable degenerative disorder of the brain caused by prions. Morphologically it is characterized by spongiform degeneration of the cerebral and cerebellar cortex. Signs and symptoms include sleep disturbances, personality changes, aphasia, ataxia, muscle atrophy and weakness, visual loss, and myoclonus. It usually leads to death within a year from the onset of the disease.	Subacute spongiform encephalopathy; Jakob-Creutzfeldt disease; Creutzfeldt Jakob Disease; CJD (Creutzfeldt Jakob disease); classic Creutzfeldt-Jakob disease; Creutzfeldt-Jacob disease; transmissible virus dementia; CJD; Creutzfeldt Jacob syndrome; Creutzfeldt Jakob disease	mondo:nord_rare; mondo:rare; mondo:gard_rare; mondo:otar	DOID:11949; ICD9:046.19; ICD9:046.1; NCIT:C26802; UMLS:C0022336; MESH:D007562; MEDGEN:7179; SCTID:792004; NORD:1014; EFO:0004226
MONDO:0005718	Coronaviridae infectious disease	Virus diseases caused by coronaviridae.		mondo:otar	MEDGEN:40491; UMLS:C0010078; EFO:0007223
MONDO:0024388	Clostridium infectious disease	Infections with bacteria of the genus clostridium.		mondo:otar	ICD9:040.89; MESH:D003015; SCTID:56688005; EFO:1000874
MONDO:0005704	Ciliophora infectious disease	Infections with protozoa of the phylum ciliophora.	Ciliophora caused disease or disorder; Ciliophora disease or disorder		UMLS:C0085308; MEDGEN:88379; MESH:D016770
MONDO:0000115	Chiari malformation	A rare genetic brain malformation characterized by displacement of the brain stem and cerebellum through the foramen magnum. It may result in hydrocephalus.	Chiari malformation; Arnold-Chiari malformation; (Arnold) Chiari malformation	mondo:otar	NCIT:C84570; MEDGEN:2065; MESH:D001139; UMLS:C0003803; SCTID:253184003
MONDO:0015626	Charcot-Marie-Tooth disease	An inherited degenerative disorder involving the peripheral nerves. It is caused by mutations in the genes that are responsible for the production of proteins necessary for the function and structure of the peripheral nerves. It is characterized by muscle atrophy and weakness in the feet, legs, hands, and arms and loss of sensation in the limbs.	peroneal muscular atrophy; CMT/HMSN; CMT; Charcot Marie Tooth muscular atrophy; Charcot-Marie-Tooth hereditary neuropathy; Charcot-Marie-Tooth disease; CMT - Charcot-Marie-Tooth disease	mondo:nord_rare; mondo:disease_grouping; mondo:otar; mondo:gard_rare; mondo:rare; mondo:ordo_group_of_disorders; mondo:clingen	NANDO:2200855; MEDGEN:2980; NORD:919; Orphanet:166; MESH:D002607; OMIMPS:118220; ICD9:356.1; GARD:6034; NANDO:1200016; UMLS:C0007959; NCIT:C75467; MedDRA:10034699; icd11.foundation:1538134578; DOID:10595
MONDO:0042488	Cestode infectious disease	Infections with true tapeworms of the helminth subclass Cestoda.	Cestoda caused disease or disorder; Cestoda disease or disorder; Cestoda infectious disease; cestode infection	mondo:otar	SCTID:86133004; MESH:D002590; ICD9:123.8; ICD9:123.9
MONDO:0005687	Caliciviridae infectious disease	Virus diseases caused by caliciviridae. They include hepatitis E; vesicular exanthema of swine; acute respiratory infections in felines, rabbit hemorrhagic disease, and some cases of gastroenteritis in humans.		mondo:otar	MESH:D017250; EFO:0007189
MONDO:0800472	CYP1B1-related glaucoma with or without anterior segment dysgenesis	Any primary congenital glaucoma in which the cause of the disease is a mutation in the CYP1B1 gene.		mondo:rare; mondo:gard_rare	
MONDO:0100571	CTNNB1-related neurodevelopmental disorder and/or vitreoretinopathy	Any neurodevelopmental disorder and/or exudative vitreoretinopathy caused by a monoallelic variant in the CTNNB1 gene. Variants in CTNNB1 are related to a neurodevelopmental condition with a broad spectrum of presentations ranging from isolated vitreoretinopathy to a complex neurodevelopmental disorder with mild to severe intellectual disability, microcephaly, spasticity, autism spectrum disorder, and visual defects, including retinal detachment, and abnormal retinal vascularization.			
MONDO:0800180	CPOX-related hereditary coproporphyria	Any inherited porphyria in which the cause of the disease is monoallelic or biallelic variants in the CPOX gene.		mondo:rare; mondo:otar; mondo:clingen; mondo:gard_rare	
MONDO:0800461	COL4A1-related disorder	The spectrum of COL4A1-related disorders includes small-vessel brain disease of varying severity including porencephaly, variably associated with eye defects (retinal arterial tortuosity, Axenfeld-Rieger anomaly, cataract) and systemic findings (kidney involvement, muscle cramps, cerebral aneurysms, Raynaud phenomenon, cardiac arrhythmia, and hemolytic anemia).	COL4A1-related disorders		
MONDO:0006704	CNS demyelinating autoimmune disease	Conditions characterized by loss or dysfunction of myelin (see myelin sheath) in the brain, spinal cord, or optic nerves secondary to autoimmune mediated processes. This may take the form of a humoral or cellular immune response directed toward myelin or oligodendroglia associated autoantigens.		mondo:otar	MEDGEN:199756; UMLS:C0751873; MESH:D020278; EFO:1000870
MONDO:0100446	CNGB3-related retinopathy	A retinopathy caused by biallelic variants in the CNGB3 gene.	CNGB3 retinopathy	mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0800403	CNGB1-related retinopathy	An inherited retinopathy caused by bi-allelic variants in the CNGB1 gene.		mondo:gard_rare; mondo:rare; mondo:clingen	
MONDO:0800102	CNGA3-related retinopathy	A retinopathy, typically described as achromatopsia, caused by biallelic variants in the CNGA3 gene.	CNGA3-related retinopathy	mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0800405	CNGA1-related retinopathy	An inherited retinopathy caused by bi-allelic variants in the CNGA1 gene.		mondo:rare; mondo:gard_rare; mondo:clingen	
MONDO:0800401	CERKL-related retinopathy	An inherited retinopathy caused by bi-allelic variants in the CERKL gene.		mondo:gard_rare; mondo:rare; mondo:clingen	
MONDO:0100451	CEP290-related ciliopathy	A ciliopathy caused by biallelic variants in the CEP290 gene.	CEP290 ciliopathy	mondo:rare; mondo:gard_rare; mondo:clingen	
